,Epsilon,Eval_val,K,Opt_val,index,satisfy,setuptime,solvetime
0,1e-05,0.5833333333333334,1.0,-0.0009502401774874545,0.0,0.5833333333333334,0.05238513151804606,7.937069217363994
1,1.325019355056747e-05,0.6666666666666666,1.0,-0.0007144442492521308,0.9166666666666666,0.6666666666666666,0.05238513151804606,21.172994832197826
2,1.7556762912750012e-05,0.75,1.0,-0.0004470514117209355,1.8333333333333333,0.75,0.05238513151804606,45.45074186722437
3,2.3263050671536287e-05,0.75,1.0,-0.00014579010049795842,2.75,0.75,0.05238513151804606,58.72309825817744
4,3.082399239745144e-05,0.8333333333333334,1.0,0.0001937653933158838,3.6666666666666665,0.8333333333333334,0.05238513151804606,113.154672284921
5,4.084238652674516e-05,0.8333333333333334,1.0,0.0005797770813365837,4.583333333333333,0.8333333333333334,0.05238513151804606,214.90639865398407
6,5.411695265464636e-05,1.0,1.0,0.0010205280260470176,5.5,1.0,0.05238513151804606,402.651904185613
7,7.17060097040962e-05,1.0,1.0,0.0015250670170690987,6.416666666666667,1.0,0.05238513151804606,579.0017301241556
8,9.50118507318144e-05,1.0,1.0,0.0021035600097614386,7.333333333333333,1.0,0.05238513151804606,774.0914657910665
9,0.00012589254117941672,1.0,1.0,0.0027675772327754207,8.25,1.0,0.05238513151804606,949.9920715292295
10,1e-05,0.5833333333333334,5.0,-0.0009430011027410016,9.166666666666666,0.5833333333333334,0.2220020890235901,31.55976305405299
11,1.325019355056747e-05,0.75,5.0,-0.0006997085074431793,10.083333333333334,0.75,0.2220020890235901,65.96316967407863
12,1.7556762912750012e-05,0.75,5.0,-0.00042204491441407734,11.0,0.75,0.2220020890235901,123.5394896864891
13,2.3263050671536287e-05,0.75,5.0,-0.0001457826867360333,11.916666666666666,0.75,0.2220020890235901,222.24151122570038
14,3.082399239745144e-05,0.8333333333333334,5.0,0.000193770317558997,12.833333333333334,0.8333333333333334,0.2220020890235901,360.6383612354596
15,4.084238652674516e-05,0.8333333333333334,5.0,0.0005797809069180621,13.75,0.8333333333333334,0.2220020890235901,567.1874890724818
16,5.411695265464636e-05,1.0,5.0,0.001020532094128711,14.666666666666666,1.0,0.2220020890235901,772.0925278067589
17,7.17060097040962e-05,1.0,5.0,0.001525072481446505,15.583333333333334,1.0,0.2220020890235901,892.1683019002279
18,9.50118507318144e-05,1.0,5.0,0.0021035647258076887,16.5,1.0,0.2220020890235901,987.4141380190849
19,0.00012589254117941672,1.0,5.0,0.002767584645195355,17.416666666666668,1.0,0.2220020890235901,1141.233517050743
20,1e-05,0.5833333333333334,50.0,-0.0009346044114924221,18.333333333333332,0.5833333333333334,1.1001482407251995,183.1559502283732
21,1.325019355056747e-05,0.75,50.0,-0.0007078212955615545,19.25,0.75,1.1001482407251995,260.11826405922574
22,1.7556762912750012e-05,0.75,50.0,-0.0004426216540150947,20.166666666666668,0.75,1.1001482407251995,457.0111493865649
23,2.3263050671536287e-05,0.75,50.0,-0.0001441944320204824,21.083333333333332,0.75,1.1001482407251995,507.1976485649745
24,3.082399239745144e-05,0.8333333333333334,50.0,0.0001939525758275374,22.0,0.8333333333333334,1.1001482407251995,651.9928430716196
25,4.084238652674516e-05,0.8333333333333334,50.0,0.0005800881071523983,22.916666666666668,0.8333333333333334,1.1001482407251995,816.7795677781105
26,5.411695265464636e-05,1.0,50.0,0.0010206271157705649,23.833333333333332,1.0,1.1001482407251995,917.5305317838987
