,Epsilon,Eval_val,K,Opt_val,clustertime,index,satisfy,setuptime,solvetime
0,1e-05,0.4,1.0,-0.001218625717463431,0.04110422134399414,0.0,0.4,0.0015786409378051758,0.04979569911956787
1,1.2798022139979525e-05,0.5,1.0,-0.0011126971304719828,0.04110422134399414,0.9,0.5,0.0015786409378051758,0.04065272808074951
2,1.6378937069540644e-05,0.6,1.0,-0.0010058406804037928,0.04110422134399414,1.8,0.6,0.0015786409378051758,0.014126038551330567
3,2.096179992453126e-05,0.7,1.0,-0.0009019699538624262,0.04110422134399414,2.7,0.7,0.0015786409378051758,0.024011754989624025
4,2.682695795279727e-05,0.7,1.0,-0.0007949627293374995,0.04110422134399414,3.6,0.7,0.0015786409378051758,0.02668728828430176
5,3.4333200182819924e-05,0.8,1.0,-0.0006884736986692777,0.04110422134399414,4.5,0.8,0.0015786409378051758,0.01625521183013916
6,4.3939705607607866e-05,0.8,1.0,-0.0005786216338470295,0.04110422134399414,5.4,0.8,0.0015786409378051758,0.0060217857360839845
7,5.623413251903491e-05,0.9,1.0,-0.0004653450983299973,0.04110422134399414,6.3,0.9,0.0015786409378051758,0.008095169067382812
8,7.196856730011514e-05,0.9,1.0,-0.0003484258420819709,0.04110422134399414,7.2,0.9,0.0015786409378051758,0.005591988563537598
9,9.21055317689482e-05,0.9,1.0,-0.00022618125730709186,0.04110422134399414,8.1,0.9,0.0015786409378051758,0.005907821655273438
10,0.00011787686347935866,0.9,1.0,-9.763147929140286e-05,0.04110422134399414,9.0,0.9,0.0015786409378051758,0.005418944358825684
11,0.0001508590708600179,0.9,1.0,3.835225116937237e-05,0.04110422134399414,9.9,0.9,0.0015786409378051758,0.007460498809814453
12,0.00019306977288832493,1.0,1.0,0.00018374369940612873,0.04110422134399414,10.8,1.0,0.0015786409378051758,0.005176401138305664
13,0.00024709112279856045,1.0,1.0,0.0003402773766059492,0.04110422134399414,11.7,1.0,0.0015786409378051758,0.00466306209564209
14,0.000316227766016838,1.0,1.0,0.0005105844445401497,0.04110422134399414,12.6,1.0,0.0015786409378051758,0.0043590784072875975
15,1e-05,0.4,5.0,-0.001233365828202541,0.28063216209411623,13.5,0.4,0.008261990547180176,0.20138006210327147
16,1.2798022139979525e-05,0.5,5.0,-0.001121182658164293,0.28063216209411623,14.4,0.5,0.008261990547180176,0.33027670383453367
17,1.6378937069540644e-05,0.6,5.0,-0.0010119789162700826,0.28063216209411623,15.3,0.6,0.008261990547180176,0.267258882522583
18,2.096179992453126e-05,0.7,5.0,-0.0009037388132283007,0.28063216209411623,16.2,0.7,0.008261990547180176,0.26347990036010743
19,2.682695795279727e-05,0.7,5.0,-0.0007966689346227988,0.28063216209411623,17.1,0.7,0.008261990547180176,0.29035632610321044
20,3.4333200182819924e-05,0.8,5.0,-0.0006883293396628234,0.28063216209411623,18.0,0.8,0.008261990547180176,0.2775490522384644
21,4.3939705607607866e-05,0.8,5.0,-0.0005782551481985667,0.28063216209411623,18.9,0.8,0.008261990547180176,0.22953999042510986
22,5.623413251903491e-05,0.9,5.0,-0.0004652435845995262,0.28063216209411623,19.8,0.9,0.008261990547180176,0.22124576568603516
23,7.196856730011514e-05,0.9,5.0,-0.0003482812708508882,0.28063216209411623,20.7,0.9,0.008261990547180176,0.18066732883453368
24,9.21055317689482e-05,0.9,5.0,-0.000225979865830644,0.28063216209411623,21.6,0.9,0.008261990547180176,0.19251785278320313
25,0.00011787686347935866,0.9,5.0,-9.75319992756261e-05,0.28063216209411623,22.5,0.9,0.008261990547180176,0.22906906604766847
26,0.0001508590708600179,0.9,5.0,3.8435815401414494e-05,0.28063216209411623,23.4,0.9,0.008261990547180176,0.178666090965271
27,0.00019306977288832493,1.0,5.0,0.0001838042403274648,0.28063216209411623,24.3,1.0,0.008261990547180176,0.2203904628753662
28,0.00024709112279856045,1.0,5.0,0.0003403561310252914,0.28063216209411623,25.2,1.0,0.008261990547180176,0.15086572170257567
29,0.000316227766016838,1.0,5.0,0.0005106764635756126,0.28063216209411623,26.1,1.0,0.008261990547180176,0.10085184574127197
30,1e-05,0.4,50.0,-0.0012320686093369184,0.5908619403839112,27.0,0.4,0.004358315467834472,0.45709102153778075
31,1.2798022139979525e-05,0.5,50.0,-0.0011205058927025145,0.5908619403839112,27.9,0.5,0.004358315467834472,0.3725664854049683
32,1.6378937069540644e-05,0.6,50.0,-0.001011516154099625,0.5908619403839112,28.8,0.6,0.004358315467834472,0.35513784885406496
33,2.096179992453126e-05,0.7,50.0,-0.0009039487450601451,0.5908619403839112,29.7,0.7,0.004358315467834472,0.2141639232635498
34,2.682695795279727e-05,0.7,50.0,-0.0007965370172627968,0.5908619403839112,30.6,0.7,0.004358315467834472,0.34574530124664304
35,3.4333200182819924e-05,0.8,50.0,-0.0006884904548527817,0.5908619403839112,31.5,0.8,0.004358315467834472,0.4496012210845947
36,4.3939705607607866e-05,0.8,50.0,-0.0005784895814073489,0.5908619403839112,32.4,0.8,0.004358315467834472,0.19611940383911133
37,5.623413251903491e-05,0.9,50.0,-0.0004653718398583179,0.5908619403839112,33.3,0.9,0.004358315467834472,0.35774710178375246
38,7.196856730011514e-05,0.9,50.0,-0.00034829607505776046,0.5908619403839112,34.2,0.9,0.004358315467834472,0.2861074924468994
39,9.21055317689482e-05,0.9,50.0,-0.00022596587447994062,0.5908619403839112,35.1,0.9,0.004358315467834472,0.2297330379486084
40,0.00011787686347935866,0.9,50.0,-9.732296682121659e-05,0.5908619403839112,36.0,0.9,0.004358315467834472,0.2509540319442749
