,Epsilon,Eval_val,K,Opt_val,clustertime,index,satisfy,setuptime,solvetime
0,0.000316227766016838,0.2,1.0,-0.0027045762066515754,0.03828508853912353,0.0,0.2,0.001630091667175293,0.007379937171936035
1,0.000439397056076079,0.2,1.0,-0.0025979291879390048,0.03828508853912353,0.9,0.2,0.001630091667175293,0.003318977355957031
2,0.0006105402296585326,0.2,1.0,-0.002462033477808097,0.03828508853912353,1.8,0.2,0.001630091667175293,0.003154087066650391
3,0.0008483428982440715,0.2,1.0,-0.002287662284456874,0.03828508853912353,2.7,0.2,0.001630091667175293,0.0033753633499145506
4,0.0011787686347935864,0.2,1.0,-0.0020750690315138724,0.03828508853912353,3.6,0.2,0.001630091667175293,0.0030559539794921876
5,0.0016378937069540648,0.2,1.0,-0.0018261734065130573,0.03828508853912353,4.5,0.2,0.001630091667175293,0.0029987096786499023
6,0.0022758459260747888,0.4,1.0,-0.0015408840430746014,0.03828508853912353,5.4,0.4,0.001630091667175293,0.0029263019561767576
7,0.003162277660168379,0.4,1.0,-0.001234015143823803,0.03828508853912353,6.3,0.4,0.001630091667175293,0.002871251106262207
8,0.00439397056076079,0.7,1.0,-0.0009404362470184924,0.03828508853912353,7.2,0.7,0.001630091667175293,0.0029171466827392577
9,0.006105402296585328,0.8,1.0,-0.0006524443462755007,0.03828508853912353,8.1,0.8,0.001630091667175293,0.0036092758178710937
10,0.008483428982440715,0.9,1.0,-0.0003486039546501566,0.03828508853912353,9.0,0.9,0.001630091667175293,0.005917763710021973
11,0.011787686347935871,0.9,1.0,-7.988201340388696e-06,0.03828508853912353,9.9,0.9,0.001630091667175293,0.0032006978988647463
12,0.016378937069540637,1.0,1.0,0.0003953714075203197,0.03828508853912353,10.8,1.0,0.001630091667175293,0.0028554439544677735
13,0.022758459260747876,1.0,1.0,0.0009030912538262617,0.03828508853912353,11.7,1.0,0.001630091667175293,0.002765202522277832
14,0.031622776601683784,1.0,1.0,0.0015707785234286154,0.03828508853912353,12.6,1.0,0.001630091667175293,0.002643918991088867
15,0.000316227766016838,0.2,5.0,-0.0027045609736296786,0.16323459148406982,13.5,0.2,0.0017760515213012696,0.007145357131958008
16,0.000439397056076079,0.2,5.0,-0.0025979049677135485,0.16323459148406982,14.4,0.2,0.0017760515213012696,0.004922795295715332
17,0.0006105402296585326,0.2,5.0,-0.002462004556613645,0.16323459148406982,15.3,0.2,0.0017760515213012696,0.004668784141540527
18,0.0008483428982440715,0.2,5.0,-0.0022876257895327605,0.16323459148406982,16.2,0.2,0.0017760515213012696,0.009139132499694825
19,0.0011787686347935864,0.2,5.0,-0.002075086537065135,0.16323459148406982,17.1,0.2,0.0017760515213012696,0.006399679183959961
20,0.0016378937069540648,0.2,5.0,-0.0018261706744633552,0.16323459148406982,18.0,0.2,0.0017760515213012696,0.004772043228149414
21,0.0022758459260747888,0.4,5.0,-0.001540881880983181,0.16323459148406982,18.9,0.4,0.0017760515213012696,0.007757496833801269
22,0.003162277660168379,0.4,5.0,-0.00123401896038099,0.16323459148406982,19.8,0.4,0.0017760515213012696,0.007499384880065918
23,0.00439397056076079,0.7,5.0,-0.0009404411877309605,0.16323459148406982,20.7,0.7,0.0017760515213012696,0.007370662689208984
24,0.006105402296585328,0.8,5.0,-0.0006524507413449367,0.16323459148406982,21.6,0.8,0.0017760515213012696,0.006464672088623047
25,0.008483428982440715,0.9,5.0,-0.0003486124649036141,0.16323459148406982,22.5,0.9,0.0017760515213012696,0.004660940170288086
26,0.011787686347935871,0.9,5.0,-7.998164872650077e-06,0.16323459148406982,23.4,0.9,0.0017760515213012696,0.006928300857543946
27,0.016378937069540637,1.0,5.0,0.000395360502071806,0.16323459148406982,24.3,1.0,0.0017760515213012696,0.00793161392211914
28,0.022758459260747876,1.0,5.0,0.0009030826330622117,0.16323459148406982,25.2,1.0,0.0017760515213012696,0.004408717155456543
29,0.031622776601683784,1.0,5.0,0.0015707687553514528,0.16323459148406982,26.1,1.0,0.0017760515213012696,0.0064046382904052734
30,0.000316227766016838,0.2,50.0,-0.0027045906911900832,0.46038873195648194,27.0,0.2,0.0046977996826171875,0.08544361591339111
31,0.000439397056076079,0.2,50.0,-0.0025979327355711503,0.46038873195648194,27.9,0.2,0.0046977996826171875,0.06227579116821289
32,0.0006105402296585326,0.2,50.0,-0.0024620137575818656,0.46038873195648194,28.8,0.2,0.0046977996826171875,0.05155527591705322
33,0.0008483428982440715,0.2,50.0,-0.0022876615270683897,0.46038873195648194,29.7,0.2,0.0046977996826171875,0.06255819797515869
34,0.0011787686347935864,0.2,50.0,-0.0020750783904669133,0.46038873195648194,30.6,0.2,0.0046977996826171875,0.04313015937805176
35,0.0016378937069540648,0.2,50.0,-0.0018261706968914376,0.46038873195648194,31.5,0.2,0.0046977996826171875,0.06055295467376709
36,0.0022758459260747888,0.4,50.0,-0.0015409038323616654,0.46038873195648194,32.4,0.4,0.0046977996826171875,0.0539384126663208
37,0.003162277660168379,0.4,50.0,-0.0012340291711618076,0.46038873195648194,33.3,0.4,0.0046977996826171875,0.06163990497589111
38,0.00439397056076079,0.7,50.0,-0.0009404584538690598,0.46038873195648194,34.2,0.7,0.0046977996826171875,0.06638157367706299
39,0.006105402296585328,0.8,50.0,-0.0006524569062859528,0.46038873195648194,35.1,0.8,0.0046977996826171875,0.0573138952255249
40,0.008483428982440715,0.9,50.0,-0.00034861144222628,0.46038873195648194,36.0,0.9,0.0046977996826171875,0.07122178077697754
